Key,UsedInMainMenu,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
workstationOvenWhite,,blocks,Block,New,Working Oven White,,,,,
workstationOvenWhiteDesc,,blocks,Block,New,This working oven can be used to cook many different recipes without using a fuel source.,,,,,
workstationOvenGrey,,blocks,Block,New,Working Oven Grey,,,,,
workstationOvenGreyDesc,,blocks,Block,New,This working oven can be used to cook many different recipes without using a fuel source.,,,,,
workstationOvenBlack,,blocks,Block,New,Working Oven Black,,,,, 
workstationOvenBlackDesc,,blocks,Block,New,This working oven can be used to cook many different recipes without using a fuel source.,,,,,  
workingKitchenSink,,blocks,Block,New,Kitchen Sink,,,,,
workingKitchenSinkDesc,,blocks,Block,New,This working kitchen sink can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingWallMountSink,,blocks,Block,New,Wall Mount Sink,,,,,
workingWallMountSinkDesc,,blocks,Block,New,This working wall mounted sink can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingFountain,,blocks,Block,New,Fountain,,,,,
workingFountainDesc,,blocks,Block,New,This working fountain can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingDoubleFountain,,blocks,Block,New,Double Fountain,,,,,
workingDoubleFountainDesc,,blocks,Block,New,This working double fountain can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingToilet01,,blocks,Block,New,Toilet 01,,,,,
WorkingToilet01Desc,,blocks,Block,New,This working toilet (Hey desperate times calls for desperate measures) can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingToilet02,,blocks,Block,New,Toilet 02,,,,,
workingToilet02Desc,,blocks,Block,New,This working toilet (Hey desperate times calls for desperate measures) can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingToilet03,,blocks,Block,New,Toilet 03,,,,,
WorkingToilet03Desc,,blocks,Block,New,This working toilet (Hey desperate times calls for desperate measures) can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingUrinal,,blocks,Block,New,Toilet 03,,,,,
WorkingUrinalDesc,,blocks,Block,New,This working urinal (Hey desperate times calls for desperate measures) can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingWaterCooler,,blocks,Block,New,Water Cooler,,,,,
WorkingWaterCoolerDesc,,blocks,Block,New,This working water cooler can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingWaterCoolerSide,,blocks,Block,New,Water Cooler Side,,,,,
WorkingWaterCoolerSideDesc,,blocks,Block,New,This working water cooler side can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingSodaFountain,,blocks,Block,New,Soda Fountain,,,,,
workingSodaFountainDesc,,blocks,Block,New,This working soda fountain can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingCoffeeMaker,,blocks,Block,New,Water Cooler,,,,,
WorkingCoffeeMakerDesc,,blocks,Block,New,This working coffee maker can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
workingCoffeeMakerCommercial,,blocks,Block,New,Water Cooler Side,,,,,
WorkingCoffeeMakerCommercialDesc,,blocks,Block,New,This coffee maker commercial can be used as a source of clean water. Fill your jars with water by left-clicking with them.,,,,,
